donor,receiver,donor_wastes,receiver_resources,maestri_num_exchanges,our_num_exchanges,final_num_exchanges,maestri_exchanges_details,our_exchanges_details,final_exchanges_details
CEMENTIR,CEMENTIR,"Coal fly ash
Waste heat","Raw material for Cement production
Process energy",0,2,1,,"coal -> feedstock for cement clinker production
fly ash -> feedstock for cement clinker production",Coal fly ash -> Raw material for Cement production
CEMENTIR,Enipower power station,"Coal fly ash
Waste heat","Fuel
Water",0,3,1,,"coal gasification fly ash -> biofuels
dry ash -> biofuels
fly ash -> biofuels",Coal fly ash -> Fuel
CEMENTIR,ND - Agroindustry,"Coal fly ash
Waste heat","Fertilizer
Fertiliser
Soil quality improvement and fertiliser",0,8,3,,"coal mine waste -> soil improver
power plant ash -> phosphorus
power plant ash -> fertilizer
wood ash -> fertilizer
fly ash -> fertilizer
fly ash -> soil improver
fly ash -> fertilizer substrate
fly ash -> bio-fertilizer","Coal fly ash -> Soil quality improvement and fertiliser
Coal fly ash -> Fertiliser
Coal fly ash -> Fertilizer"
CEMENTIR,ND - Construction materials production,"Coal fly ash
Waste heat",Raw material for Construction materials production,1,2,1,Coal fly ash -> Raw material for Construction materials production,"biomass fly ash -> construction materials
fly ash -> construction materials",Coal fly ash -> Raw material for Construction materials production
CEMENTIR,ND - Electricity production - Organic Rankine Cycle,"Coal fly ash
Waste heat",Process heat,1,0,0,Waste heat -> Process heat,,
CEMENTIR,ND - Road construction,"Coal fly ash
Waste heat","Raw material for Road construction
Raw materials
Road foundations
Paving",0,4,2,,"fly ash -> asphalt concrete
fly ash -> pavers
fly ash -> road materials
fly ash -> paving mixes","Coal fly ash -> Raw material for Road construction
Coal fly ash -> Paving"
CEMENTIR,Taranto,"Coal fly ash
Waste heat","Heat
Cooling",1,1,1,Waste heat -> Heat,power plant ash -> heat,Coal fly ash -> Heat
ENI refinery,ENI refinery,"Fuel gas
Fuel oil
Waste heat","Process heat
Process energy
Water",0,1,1,,oils -> clean water,Fuel oil -> Water
ENI refinery,Enipower power station,"Fuel gas
Fuel oil
Waste heat","Fuel
Water",2,7,2,"Fuel gas -> Fuel
Fuel oil -> Fuel","oils -> clean water
oils -> biofuels
fossil fuel diesel -> biofuels
heating oil -> ethanol
fossil fuel -> biofuels
fossil fuel -> gas
fossil fuel -> renewable fuel","Fuel oil -> Fuel
Fuel oil -> Water"
ENI refinery,ND - Electricity production - Organic Rankine Cycle,"Fuel gas
Fuel oil
Waste heat",Process heat,1,0,0,Waste heat -> Process heat,,
ENI refinery,Taranto,"Fuel gas
Fuel oil
Waste heat","Heat
Cooling",1,0,0,Waste heat -> Heat,,
Edison power station,Enipower power station,"Electricity
Steam
Waste heat","Fuel
Water",0,2,1,,"energy consumption -> biofuels
energy -> energy resources",Electricity -> Fuel
Edison power station,ILVA,"Electricity
Steam
Waste heat","Process energy
Process heat",2,0,0,"Electricity -> Process energy
Steam -> Process heat",,
Edison power station,ND - Agroindustry,"Electricity
Steam
Waste heat","Fertilizer
Fertiliser
Soil quality improvement and fertiliser",0,1,1,,energy consumption -> biofertilizer,Electricity -> Fertilizer
Edison power station,Taranto,"Electricity
Steam
Waste heat","Heat
Cooling",1,0,0,Waste heat -> Heat,,
EniPower power station,ND - Electricity production - Organic Rankine Cycle,Waste heat,Process heat,1,0,0,Waste heat -> Process heat,,
EniPower power station,Taranto,Waste heat,"Heat
Cooling",1,0,0,Waste heat -> Heat,,
Enipower power station,ENI refinery,"Vapour and demineralised water
Electricity
Sea and well water, condensing vapour","Process heat
Process energy
Water",3,0,0,"Vapour and demineralised water -> Process heat
Electricity -> Process energy
Sea and well water, condensing vapour -> Water",,
Enipower power station,Enipower power station,"Vapour and demineralised water
Electricity
Sea and well water, condensing vapour","Fuel
Water",0,2,1,,"energy consumption -> biofuels
energy -> energy resources",Electricity -> Fuel
Enipower power station,ND - Agroindustry,"Vapour and demineralised water
Electricity
Sea and well water, condensing vapour","Fertilizer
Fertiliser
Soil quality improvement and fertiliser",0,1,1,,energy consumption -> biofertilizer,Electricity -> Fertilizer
ILVA,CEMENTIR,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate","Raw material for Cement production
Process energy",2,1,1,"Mill scales -> Raw material for Cement production
BF slag -> Raw material for Cement production",slag -> feedstock for cement clinker production,BF slag -> Raw material for Cement production
ILVA,Edison power station,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate","Process heat
Process energy",1,0,0,Exhaust gas -> Process heat,,
ILVA,Enipower power station,"Demineralised water
Exhaust gas
Mill scales
BF slag
Waste heat
Waste coolant
Refractories
BFS/BOSF
BOSF
BFS
BOFS as aggregate","Fuel
Water",1,0,0,Demineralised water -> Water,,
