donor,receiver,donor_wastes,receiver_resources,maestri_num_exchanges,our_num_exchanges,final_num_exchanges,maestri_exchanges_details,our_exchanges_details,final_exchanges_details
CEMENTIR,CEMENTIR,"Coal fly ash
Waste heat","Raw material for Cement production
Process energy",0,8,1,,"slag -> feedstock for cement clinker production
petroleum coke fly ash -> cement
coal -> feedstock for cement clinker production
biomass combustion ash -> cement
sewage sludge ash -> cementitious materials
fly ash -> cementitious materials
fly ash -> feedstock for cement clinker production
fly ash -> cement",Coal fly ash -> Raw material for Cement production
CEMENTIR,ENI refinery,"Coal fly ash
Waste heat","Process heat
Process energy
Water",0,3,3,,"waste -> hot water
power plant ash -> heat
fly ash -> hydrogen","Coal fly ash -> Process heat
Coal fly ash -> Water
Waste heat -> Water"
CEMENTIR,Edison power station,"Coal fly ash
Waste heat","Process heat
Process energy",0,1,1,,power plant ash -> heat,Coal fly ash -> Process heat
CEMENTIR,Enipower power station,"Coal fly ash
Waste heat","Fuel
Water",0,12,4,,"waste oil -> biodiesel
waste oil -> crude oil
waste -> hot water
ash waste -> biofuels
incineration fly ash -> biofuels
charcoal production residues -> bioenergy
coal gasification fly ash -> biofuels
biomass combustion ash -> improved fuel characteristics
sewage sludge ash -> bioenergy
dry ash -> biofuels
fly ash -> hydrogen
fly ash -> biofuels","Coal fly ash -> Water
Waste heat -> Fuel
Coal fly ash -> Fuel
Waste heat -> Water"
CEMENTIR,ILVA,"Coal fly ash
Waste heat","Process energy
Process heat",0,1,1,,power plant ash -> heat,Coal fly ash -> Process heat
CEMENTIR,ND - Agroindustry,"Coal fly ash
Waste heat","Fertilizer
Fertiliser
Soil quality improvement and fertiliser",0,50,6,,"energy waste -> biogas
high-calorific waste -> compost
high-calorific waste -> biogas
waste heat -> biogas
waste carbon -> ammonia
waste -> fertilizer
lignite -> biogas
coal-based solid waste -> soil improver
coal mine waste -> soil improver
power plant ash -> phosphorus
power plant ash -> fertilizer
coal -> biochar
coal gangue -> fertilizer
blast furnace slag -> fertilizer
blast furnace slag -> zeolite
biomass combustion ash -> zeolite
biomass combustion ash -> biogas
biomass combustion ash -> fertilizer
biomass combustion ash -> organic fertilizer
ash from combustion -> phosphorus
ash from combustion -> plant nutrients
ash from combustion -> fertilizer
bituminous coal -> biogas
sewage sludge ash -> organo-mineral fertilizer
sewage sludge ash -> organic fertilizer
sewage sludge ash -> biogas
sewage sludge ash -> chemical fertilizers
sewage sludge ash -> bio-fertilizer
sewage sludge ash -> biofertilizer
sewage sludge ash -> phosphorus
sewage sludge ash -> biochar
sewage sludge ash -> phosphorus fertilizer
sewage sludge ash -> soil nitrogen
sewage sludge ash -> phosphate
sewage sludge ash -> fertilizer
sewage sludge ash -> fertilizer alternatives
lignite waste -> humic acid fertilizer
agricultural waste ash -> compost
wood ash -> fertilizer
wood ash -> plant nutrients
unburned carbon in fly ash -> biochar
fly ash -> fertilizer
fly ash -> soil improver
fly ash -> zeolite
fly ash -> biochar
fly ash -> fertilizer substrate
fly ash -> soil amendment
fly ash -> bio-fertilizer
fly ash -> plant nutrients
fly ash -> stabilised soil","Waste heat -> Fertilizer
Waste heat -> Fertiliser
Coal fly ash -> Fertiliser
Coal fly ash -> Soil quality improvement and fertiliser
Coal fly ash -> Fertilizer
Waste heat -> Soil quality improvement and fertiliser"
CEMENTIR,ND - Construction materials production,"Coal fly ash
Waste heat",Raw material for Construction materials production,1,14,1,Coal fly ash -> Raw material for Construction materials production,"slag -> construction materials
slag -> building materials
fluidized bed fly ash -> building materials
blast furnace slag -> value-added construction materials
blast furnace slag -> building materials
blast furnace slag -> construction materials
coal waste -> construction products
biomass combustion ash -> building materials
sewage sludge ash -> value-added construction materials
biomass fly ash -> construction materials
fly ash -> building materials
fly ash -> construction materials
fly ash -> value-added construction materials
fly ash -> low-cost construction material",Coal fly ash -> Raw material for Construction materials production
CEMENTIR,ND - Distilleries,"Coal fly ash
Waste heat",Raw material for Distilleries,0,2,1,,"ash from combustion -> secondary raw materials
agricultural waste ash -> secondary raw materials",Coal fly ash -> Raw material for Distilleries
CEMENTIR,ND - Electricity production - Organic Rankine Cycle,"Coal fly ash
Waste heat",Process heat,1,1,1,Waste heat -> Process heat,power plant ash -> heat,Coal fly ash -> Process heat
CEMENTIR,ND - Glass and glass-ceramic production,"Coal fly ash
Waste heat",Raw material for Glass and glass-ceramic production,0,3,1,,"blast furnace slag -> transparent glass
sewage sludge ash -> low-temperature glass-ceramics
fly ash -> transparent glass",Coal fly ash -> Raw material for Glass and glass-ceramic production
CEMENTIR,ND - Production of bricks,"Coal fly ash
Waste heat",Raw material for Production of bricks,0,3,1,,"coal gangue -> bricks
blast furnace slag -> bricks
fly ash -> bricks",Coal fly ash -> Raw material for Production of bricks
CEMENTIR,ND - Production of concrete,"Coal fly ash
Waste heat",Raw material for Production of concrete,0,11,1,,"slag -> concrete
slag -> feedstock for cement clinker production
municipal solid waste ash -> concrete
coal -> feedstock for cement clinker production
coal gangue -> concrete
blast furnace slag -> concrete
biomass combustion ash -> concrete aggregate
sewage sludge ash -> concrete
mining residue sludge -> concrete aggregate
fly ash -> concrete
fly ash -> feedstock for cement clinker production",Coal fly ash -> Raw material for Production of concrete
CEMENTIR,ND - Road construction,"Coal fly ash
Waste heat","Raw material for Road construction
Raw materials
Road foundations
Paving",0,34,5,,"waste oil -> chemical products
waste oil -> recycled materials
high-calorific waste -> recycled materials
waste -> materials
waste -> chemical products
slag -> concrete
slag -> minerals
slag -> recycled materials
slag -> construction materials
slag -> building materials
municipal solid waste ash -> concrete
fluidized bed fly ash -> building materials
coal -> recovered materials
coal gangue -> concrete
blast furnace slag -> concrete
blast furnace slag -> pavement granules
blast furnace slag -> building materials
blast furnace slag -> construction materials
biomass combustion ash -> building materials
ash from combustion -> secondary raw materials
sewage sludge ash -> concrete
biomass fly ash -> construction materials
agricultural waste ash -> secondary raw materials
fly ash -> concrete
fly ash -> asphalt concrete
fly ash -> waste reuse in road construction
fly ash -> pavement granules
fly ash -> building materials
fly ash -> construction materials
fly ash -> valuable materials
fly ash -> pavers
fly ash -> road materials
fly ash -> paving mixes
fly ash -> recovered materials","Coal fly ash -> Raw material for Road construction
Coal fly ash -> Raw materials
Coal fly ash -> Road foundations
Coal fly ash -> Paving
Waste heat -> Raw materials"
CEMENTIR,Taranto,"Coal fly ash
Waste heat","Heat
Cooling",1,2,3,Waste heat -> Heat,"waste -> hot water
power plant ash -> heat","Coal fly ash -> Heat
Coal fly ash -> Cooling
Waste heat -> Heat"
