waste,resource
Coal fly ash,Raw material for Cement production
Coal fly ash,Process heat
Waste heat,Water
Coal fly ash,Water
Coal fly ash,Process heat
Coal fly ash,Water
Waste heat,Water
Coal fly ash,Fuel
Waste heat,Fuel
Coal fly ash,Process heat
Waste heat,Fertilizer
Coal fly ash,Soil quality improvement and fertiliser
Coal fly ash,Fertilizer
Coal fly ash,Fertiliser
Waste heat,Fertiliser
Waste heat,Soil quality improvement and fertiliser
Coal fly ash,Raw material for Distilleries
Coal fly ash,Process heat
Coal fly ash,Raw material for Glass and glass-ceramic production
Coal fly ash,Raw material for Production of bricks
Coal fly ash,Raw material for Production of concrete
Coal fly ash,Raw materials
Waste heat,Raw materials
Coal fly ash,Paving
Coal fly ash,Road foundations
Coal fly ash,Raw material for Road construction
Coal fly ash,Cooling
Coal fly ash,Heat
Waste heat,Water
Fuel gas,Water
Fuel oil,Water
Waste heat,Water
Fuel gas,Water
Fuel oil,Water
Waste heat,Fuel
Waste heat,Fertilizer
Fuel gas,Fertilizer
Waste heat,Fertiliser
Waste heat,Soil quality improvement and fertiliser
Fuel oil,Fertilizer
Fuel oil,Raw material for Construction materials production
Fuel oil,Raw materials
Waste heat,Raw materials
Fuel gas,Raw materials
Electricity,Process energy
Waste heat,Water
Electricity,Water
Electricity,Process energy
Electricity,Process energy
Electricity,Process energy
Electricity,Fuel
Waste heat,Water
Electricity,Water
Waste heat,Fuel
Waste heat,Fertilizer
Electricity,Fertilizer
Electricity,Fertiliser
Waste heat,Fertiliser
Waste heat,Soil quality improvement and fertiliser
Electricity,Raw material for Distilleries
Waste heat,Raw materials
Electricity,Raw materials
Waste heat,Water
Waste heat,Water
Waste heat,Fuel
Waste heat,Fertilizer
Waste heat,Fertiliser
Waste heat,Soil quality improvement and fertiliser
Waste heat,Raw materials
Electricity,Process energy
Electricity,Water
Electricity,Process energy
Electricity,Process energy
Electricity,Fuel
"Sea and well water, condensing vapour",Water
Electricity,Water
"Sea and well water, condensing vapour",Fuel
Electricity,Process energy
"Sea and well water, condensing vapour",Fertilizer
Electricity,Fertilizer
Electricity,Fertiliser
Electricity,Raw material for Distilleries
"Sea and well water, condensing vapour",Raw material for Production of concrete
"Sea and well water, condensing vapour",Raw materials
"Sea and well water, condensing vapour",Paving
Electricity,Raw materials
Refractories,Water
BF slag,Water
Refractories,Process heat
Exhaust gas,Water
Waste coolant,Water
Exhaust gas,Process heat
Waste heat,Water
Refractories,Process heat
Refractories,Water
Exhaust gas,Water
Waste coolant,Water
Waste heat,Water
Exhaust gas,Fuel
Refractories,Fuel
BF slag,Water
Waste coolant,Fuel
BF slag,Fuel
Waste heat,Fuel
Mill scales,Fuel
Exhaust gas,Process heat
Refractories,Process heat
Mill scales,Fertilizer
Waste heat,Fertilizer
Mill scales,Soil quality improvement and fertiliser
Waste coolant,Fertiliser
Waste heat,Fertiliser
